url,product_name,reviewer_name,review_title,review_text,review_rating,verified_purchase,review_date,helpful_count,uniq_id,scraped_at,cleaned_text,review_month
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Jocelyn McSayles,Love em,Love these. Was looking for converses and these were half the price and so unique— I’ve never seen clear shoes like these; they fit great. The plastic takes a little getting used to but the style is so worth it.,5.0,True,2020-06-02,2.0,36eae4e5-2894-5279-a0b7-d2b330e2b814,24/12/2021 02:26:25,love looking converse half price unique— ’ never seen clear shoe like fit great plastic take little getting used style worth,2020-06
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Chris Souza,Good quality,Good quality,5.0,True,2021-01-20,,db5a7525-d40b-5265-84d8-df4f29837a3b,24/12/2021 02:26:25,good quality,2021-01
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Amazon Customer,Good,Great,5.0,True,2021-04-22,,75a42851-6462-54b5-988a-27d336221943,24/12/2021 02:26:25,great,2021-04
https://www.amazon.co.uk/dp/B07S1XM3L7,"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Lindsay,Perfect right outta the box,"True to size. If between I'd probably go with your lower end i.e 8-8.5 go 8. I wore these right out of the box for a little over 2 hours, most of which was walking around and they were incredibly comfortable no rubbing and I did not find any issue with the tongue being too stiff as I have seen mentioned in other reviews.",5.0,True,2021-10-20,,b64632c5-6f24-51eb-9275-6614fed29f1a,24/12/2021 02:26:25,true size id probably go lower end ie 885 go 8 wore right box little 2 hour walking around incredibly comfortable rubbing find issue tongue stiff seen mentioned review,2021-10
https://www.amazon.co.uk/dp/B07S1XM3L7,"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Martine Roy,Wow!,"I love these shoes so much, it's my second pair, pure comfort!  Thank you Amazon!",5.0,True,2021-05-25,,605fd069-17be-5f3f-9f6e-9ed6dc266b0f,24/12/2021 02:26:25,love shoe much second pair pure comfort thank amazon,2021-05
https://www.amazon.co.uk/dp/B0125TMZGK,"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Amazon Customer,Comfortable and attractive,"I have hard to fit feet and often a wide fitting shoe looks too big and bulky.  These shoes were comfortable right away with no pressure points.  I use them for run around shoes, going to the store, etc.  They look casual but are more attractive than a running shoe.  They have a nice rounded toe box and go with any kind of outfit.  I am very happy with them.",5.0,True,2018-10-08,2.0,bce0114a-c0fe-5472-bbb8-377cb21dc853,24/12/2021 02:26:25,hard fit foot often wide fitting shoe look big bulky shoe comfortable right away pressure point use run around shoe going store etc look casual attractive running shoe nice rounded toe box go kind outfit happy,2018-10
https://www.amazon.co.uk/dp/B0125TMZGK,"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Amazon Customer,My right foot fits size 11 fine but not the same for the left foot,"I really need 11 1/2 but these shoes do not come in half sizes.  My right foot fits size 11 fine but not the same for the left foot.  The only issue is the blue insole - my feet perspire and the blue colour runs into my socks.  Also, the round laces look nice but they do not remain tied; they need a knot in the bow to maintain the tie.  They are very attractive shoes and do not look huge in size 12. Thank you. CHL.",5.0,True,2016-10-29,,0190a659-ae61-5c28-8b9d-65199697f02e,24/12/2021 02:26:25,really need 11 12 shoe come half size right foot fit size 11 fine left foot issue blue insole foot perspire blue colour run sock also round lace look nice remain tied need knot bow maintain tie attractive shoe look huge size 12 thank chl,2016-10
https://www.amazon.co.uk/dp/B0125TMZGK,"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Burger Lover - Dalton,Great quality and comfort shoes,Great quality and comfort shoesI was so thrilled when I got my new shoes last week! I had bought a pair of a RAVON shoes over two years ago at an expensive shoe store and I did not regret spending the money because they were perfect walking shoes and they gave me plenty of support and I have a bunion on my left big toe and I had plenty of room for that foot. Tmy new ones just like my old pair as far as being comfortable and they keepI got me balanced. By the way my original pair that are 2 1/2 years old are still good but I am using them to mow grass in because I feel safe walking in them. I wanted new ones because I needed some pretty ones that weren’t grungy looking. I am 67And being balanced is ver  important to me. I highly recommend these shoes because of the wonderful quality and comfort and I got them on sale! What a deal so I feel like I won the lottery! Also I neglected to mention they are very classy looking. Very well-made and beautiful and striking.,5.0,True,2020-08-27,2.0,f1bafbd5-ff6a-52c7-8929-68bf9da9eda2,24/12/2021 02:26:25,great quality comfort shoesi thrilled got new shoe last week bought pair ravon shoe two year ago expensive shoe store regret spending money perfect walking shoe gave plenty support bunion left big toe plenty room foot tmy new one like old pair far comfortable keepi got balanced way original pair 2 12 year old still good using mow grass feel safe walking wanted new one needed pretty one ’ grungy looking 67and balanced ver important highly recommend shoe wonderful quality comfort got sale deal feel like lottery also neglected mention classy looking wellmade beautiful striking,2020-08
https://www.amazon.co.uk/dp/B07S1XM3L7,"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Melissa Lanza,Super cuter sneakers.,I bought these as a birthday present for myself. I originally wanted to use them as my new jogging shoes. The tongue of the shoe is just too stiff for that though. I am still happy with the shoes cuz they are super cute. Besides the stiff tongue my only other complaint is they seem a tad larger than my other size tens. I have a little more space than I like to have. Otherwise completely awesome!,5.0,True,2021-01-06,4.0,1b63388c-d268-5453-9fad-f36f9ec5e2e0,24/12/2021 02:26:25,bought birthday present originally wanted use new jogging shoe tongue shoe stiff though still happy shoe cuz super cute besides stiff tongue complaint seem tad larger size ten little space like otherwise completely awesome,2021-01
https://www.amazon.co.uk/dp/B0125TMZGK,"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Kobe,Nice lightweight comfort shoe,"It's a very comfortable and lightweight shoe.  I found it to be pretty true for a size 10, but all shoes run differently.  Other reviews said it ran small, but I didn't find that the case. I bought the 10D width.  The wider width doesn't look odd, it fits the shoe well and my foot.",5.0,True,2016-08-08,9.0,397e3b6a-be73-5b2f-a4e5-e957a56acdb1,24/12/2021 02:26:25,comfortable lightweight shoe found pretty true size 10 shoe run differently review said ran small didnt find case bought 10d width wider width doesnt look odd fit shoe well foot,2016-08
https://www.amazon.co.uk/dp/B0125TMZGK,"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Grams,Total Comfort,Two years ago I bought this same exact shoes.  I wore them always when choosing a stylish athletic shoe. Originally I bought them when our family was going to go to The Ark in Kentucky and knew we would be doing alot of walking.there has never been a time that my feet hurt when I wear these shoes. And I get compliments often as to how cute they look.  So best shoes for me for comfort and style! Bought them again to update and bought an additional pair in black.,5.0,True,2019-11-12,2.0,256c6c3b-ce6a-5c88-9de4-ca981dede045,24/12/2021 02:26:25,two year ago bought exact shoe wore always choosing stylish athletic shoe originally bought family going go ark kentucky knew would alot walkingthere never time foot hurt wear shoe get compliment often cute look best shoe comfort style bought update bought additional pair black,2019-11
https://www.amazon.co.uk/dp/B082W5GQ5L,"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Sambit,Nice Shoes,Nice pair of shoes,5.0,True,2021-08-07,,5d82d088-3073-55c7-9436-337ba52b3429,24/12/2021 02:26:26,nice pair shoe,2021-08
https://www.amazon.co.uk/dp/B082W5GQ5L,"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",consumer,Thank you!,"These shoes are cute and jus fine. I wanted to comment on the company actually. I bought these for a wedding for my son to wear and they weren’t going to arrive in time.  I reached out to Amazon with no luck. I finally contacted the company directly and they said they didn’t think they could get them to me in time because of how the process works. However, I literally received these the very next day. Whoever I spoke to, thank you, you obviously went out of your way to get these pulled and shipped to me and I can’t thank you enough. They made it on time and the wedding was gorgeous!!My son kept the shoes on all night and now wears them when he wants to dress up casual  ..he says they are comfy and shoe laces are long enough he can tie them easily",5.0,True,2021-10-22,3.0,1da9db76-74be-5eec-af0b-bcaa1bd0aa9e,24/12/2021 02:26:26,shoe cute jus fine wanted comment company actually bought wedding son wear ’ going arrive time reached amazon luck finally contacted company directly said ’ think could get time process work however literally received next day whoever spoke thank obviously went way get pulled shipped ’ thank enough made time wedding gorgeousmy son kept shoe night wear want dress casual say comfy shoe lace long enough tie easily,2021-10
https://www.amazon.co.uk/dp/B082W5GQ5L,"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",C. Herrera,Not your average skate shoe. They’re attractive!,"When my 8 year old asked for “skate shoes”, I could only picture AirWalks or Vans (which are cute, but don’t fit their wide feet well). I began searching and found these. They are not just skate shoes, but also adorable and good, Adidas quality.",5.0,True,2021-01-06,6.0,b56f0672-80fc-591e-9d7b-ac2da9fdef7d,24/12/2021 02:26:26,8 year old asked “ skate shoe ” could picture airwalks van cute ’ fit wide foot well began searching found skate shoe also adorable good adidas quality,2021-01
